Order,PID,MS SubClass,Lot Frontage,Lot Area,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Mas Vnr Area,BsmtFin SF 1,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,TotRms AbvGrd,Fireplaces,Garage Yr Blt,Garage Cars,Garage Area,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Misc Val,Mo Sold,Yr Sold,SalePrice
1.0,526301100.0,20.0,141.0,31770.0,6.0,5.0,1960.0,1960.0,112.0,639.0,0.0,441.0,1080.0,1656.0,0.0,0.0,1656.0,1.0,0.0,1.0,0.0,3.0,1.0,7.0,2.0,1960.0,2.0,528.0,210.0,62.0,0.0,0.0,0.0,0.0,0.0,5.0,2010.0,215000.0
2.0,526350040.0,20.0,80.0,11622.0,5.0,6.0,1961.0,1961.0,0.0,468.0,144.0,270.0,882.0,896.0,0.0,0.0,896.0,0.0,0.0,1.0,0.0,2.0,1.0,5.0,0.0,1961.0,1.0,730.0,140.0,0.0,0.0,0.0,120.0,0.0,0.0,6.0,2010.0,105000.0
3.0,526351010.0,20.0,81.0,14267.0,6.0,6.0,1958.0,1958.0,108.0,923.0,0.0,406.0,1329.0,1329.0,0.0,0.0,1329.0,0.0,0.0,1.0,1.0,3.0,1.0,6.0,0.0,1958.0,1.0,312.0,393.0,36.0,0.0,0.0,0.0,0.0,12500.0,6.0,2010.0,172000.0
4.0,526353030.0,20.0,93.0,11160.0,7.0,5.0,1968.0,1968.0,0.0,1065.0,0.0,1045.0,2110.0,2110.0,0.0,0.0,2110.0,1.0,0.0,2.0,1.0,3.0,1.0,8.0,2.0,1968.0,2.0,522.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2010.0,244000.0
5.0,527105010.0,60.0,74.0,13830.0,5.0,5.0,1997.0,1998.0,0.0,791.0,0.0,137.0,928.0,928.0,701.0,0.0,1629.0,0.0,0.0,2.0,1.0,3.0,1.0,6.0,1.0,1997.0,2.0,482.0,212.0,34.0,0.0,0.0,0.0,0.0,0.0,3.0,2010.0,189900.0
6.0,527105030.0,60.0,78.0,9978.0,6.0,6.0,1998.0,1998.0,20.0,602.0,0.0,324.0,926.0,926.0,678.0,0.0,1604.0,0.0,0.0,2.0,1.0,3.0,1.0,7.0,1.0,1998.0,2.0,470.0,360.0,36.0,0.0,0.0,0.0,0.0,0.0,6.0,2010.0,195500.0
7.0,527127150.0,120.0,41.0,4920.0,8.0,5.0,2001.0,2001.0,0.0,616.0,0.0,722.0,1338.0,1338.0,0.0,0.0,1338.0,1.0,0.0,2.0,0.0,2.0,1.0,6.0,0.0,2001.0,2.0,582.0,0.0,0.0,170.0,0.0,0.0,0.0,0.0,4.0,2010.0,213500.0
8.0,527145080.0,120.0,43.0,5005.0,8.0,5.0,1992.0,1992.0,0.0,263.0,0.0,1017.0,1280.0,1280.0,0.0,0.0,1280.0,0.0,0.0,2.0,0.0,2.0,1.0,5.0,0.0,1992.0,2.0,506.0,0.0,82.0,0.0,0.0,144.0,0.0,0.0,1.0,2010.0,191500.0
9.0,527146030.0,120.0,39.0,5389.0,8.0,5.0,1995.0,1996.0,0.0,1180.0,0.0,415.0,1595.0,1616.0,0.0,0.0,1616.0,1.0,0.0,2.0,0.0,2.0,1.0,5.0,1.0,1995.0,2.0,608.0,237.0,152.0,0.0,0.0,0.0,0.0,0.0,3.0,2010.0,236500.0
10.0,527162130.0,60.0,60.0,7500.0,7.0,5.0,1999.0,1999.0,0.0,0.0,0.0,994.0,994.0,1028.0,776.0,0.0,1804.0,0.0,0.0,2.0,1.0,3.0,1.0,7.0,1.0,1999.0,2.0,442.0,140.0,60.0,0.0,0.0,0.0,0.0,0.0,6.0,2010.0,189000.0
11.0,527163010.0,60.0,75.0,10000.0,6.0,5.0,1993.0,1994.0,0.0,0.0,0.0,763.0,763.0,763.0,892.0,0.0,1655.0,0.0,0.0,2.0,1.0,3.0,1.0,7.0,1.0,1993.0,2.0,440.0,157.0,84.0,0.0,0.0,0.0,0.0,0.0,4.0,2010.0,175900.0
12.0,527165230.0,20.0,74.0,7980.0,6.0,7.0,1992.0,2007.0,0.0,935.0,0.0,233.0,1168.0,1187.0,0.0,0.0,1187.0,1.0,0.0,2.0,0.0,3.0,1.0,6.0,0.0,1992.0,2.0,420.0,483.0,21.0,0.0,0.0,0.0,0.0,500.0,3.0,2010.0,185000.0
13.0,527166040.0,60.0,63.0,8402.0,6.0,5.0,1998.0,1998.0,0.0,0.0,0.0,789.0,789.0,789.0,676.0,0.0,1465.0,0.0,0.0,2.0,1.0,3.0,1.0,7.0,1.0,1998.0,2.0,393.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,5.0,2010.0,180400.0
14.0,527180040.0,20.0,85.0,10176.0,7.0,5.0,1990.0,1990.0,0.0,637.0,0.0,663.0,1300.0,1341.0,0.0,0.0,1341.0,1.0,0.0,1.0,1.0,2.0,1.0,5.0,1.0,1990.0,2.0,506.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2010.0,171500.0
15.0,527182190.0,120.0,48.8,6820.0,8.0,5.0,1985.0,1985.0,0.0,368.0,1120.0,0.0,1488.0,1502.0,0.0,0.0,1502.0,1.0,0.0,1.0,1.0,1.0,1.0,4.0,0.0,1985.0,2.0,528.0,0.0,54.0,0.0,0.0,140.0,0.0,0.0,6.0,2010.0,212000.0
16.0,527216070.0,60.0,47.0,53504.0,8.0,5.0,2003.0,2003.0,603.0,1416.0,0.0,234.0,1650.0,1690.0,1589.0,0.0,3279.0,1.0,0.0,3.0,1.0,4.0,1.0,12.0,1.0,2003.0,3.0,841.0,503.0,36.0,0.0,0.0,210.0,0.0,0.0,6.0,2010.0,538000.0
17.0,527225035.0,50.0,152.0,12134.0,8.0,7.0,1988.0,2005.0,0.0,427.0,0.0,132.0,559.0,1080.0,672.0,0.0,1752.0,0.0,0.0,2.0,0.0,4.0,1.0,8.0,0.0,1988.0,2.0,492.0,325.0,12.0,0.0,0.0,0.0,0.0,0.0,6.0,2010.0,164000.0
18.0,527258010.0,20.0,88.0,11394.0,9.0,2.0,2010.0,2010.0,350.0,1445.0,0.0,411.0,1856.0,1856.0,0.0,0.0,1856.0,1.0,0.0,1.0,1.0,1.0,1.0,8.0,1.0,2010.0,3.0,834.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2010.0,394432.0
19.0,527276150.0,20.0,140.0,19138.0,4.0,5.0,1951.0,1951.0,0.0,120.0,0.0,744.0,864.0,864.0,0.0,0.0,864.0,0.0,0.0,1.0,0.0,2.0,1.0,4.0,0.0,1951.0,2.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2010.0,141000.0
20.0,527302110.0,20.0,85.0,13175.0,6.0,6.0,1978.0,1988.0,119.0,790.0,163.0,589.0,1542.0,2073.0,0.0,0.0,2073.0,1.0,0.0,2.0,0.0,3.0,1.0,7.0,2.0,1978.0,2.0,500.0,349.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2010.0,210000.0
21.0,527358140.0,20.0,105.0,11751.0,6.0,6.0,1977.0,1977.0,480.0,705.0,0.0,1139.0,1844.0,1844.0,0.0,0.0,1844.0,0.0,0.0,2.0,0.0,3.0,1.0,7.0,1.0,1977.0,2.0,546.0,0.0,122.0,0.0,0.0,0.0,0.0,0.0,1.0,2010.0,190000.0
22.0,527358200.0,85.0,85.0,10625.0,7.0,6.0,1974.0,1974.0,81.0,885.0,168.0,0.0,1053.0,1173.0,0.0,0.0,1173.0,1.0,0.0,2.0,0.0,3.0,1.0,6.0,2.0,1974.0,2.0,528.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,1.0,2010.0,170000.0
23.0,527368020.0,60.0,77.8,7500.0,7.0,5.0,2000.0,2000.0,0.0,533.0,0.0,281.0,814.0,814.0,860.0,0.0,1674.0,1.0,0.0,2.0,1.0,3.0,1.0,7.0,0.0,2000.0,2.0,663.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,1.0,2010.0,216000.0
